alphabet,sample_file,left_hand_0_x,left_hand_0_y,left_hand_0_confidence,left_hand_1_x,left_hand_1_y,left_hand_1_confidence,left_hand_2_x,left_hand_2_y,left_hand_2_confidence,left_hand_3_x,left_hand_3_y,left_hand_3_confidence,left_hand_4_x,left_hand_4_y,left_hand_4_confidence,left_hand_5_x,left_hand_5_y,left_hand_5_confidence,left_hand_6_x,left_hand_6_y,left_hand_6_confidence,left_hand_7_x,left_hand_7_y,left_hand_7_confidence,left_hand_8_x,left_hand_8_y,left_hand_8_confidence,left_hand_9_x,left_hand_9_y,left_hand_9_confidence,left_hand_10_x,left_hand_10_y,left_hand_10_confidence,left_hand_11_x,left_hand_11_y,left_hand_11_confidence,left_hand_12_x,left_hand_12_y,left_hand_12_confidence,left_hand_13_x,left_hand_13_y,left_hand_13_confidence,left_hand_14_x,left_hand_14_y,left_hand_14_confidence,left_hand_15_x,left_hand_15_y,left_hand_15_confidence,left_hand_16_x,left_hand_16_y,left_hand_16_confidence,left_hand_17_x,left_hand_17_y,left_hand_17_confidence,left_hand_18_x,left_hand_18_y,left_hand_18_confidence,left_hand_19_x,left_hand_19_y,left_hand_19_confidence,left_hand_20_x,left_hand_20_y,left_hand_20_confidence,right_hand_0_x,right_hand_0_y,right_hand_0_confidence,right_hand_1_x,right_hand_1_y,right_hand_1_confidence,right_hand_2_x,right_hand_2_y,right_hand_2_confidence,right_hand_3_x,right_hand_3_y,right_hand_3_confidence,right_hand_4_x,right_hand_4_y,right_hand_4_confidence,right_hand_5_x,right_hand_5_y,right_hand_5_confidence,right_hand_6_x,right_hand_6_y,right_hand_6_confidence,right_hand_7_x,right_hand_7_y,right_hand_7_confidence,right_hand_8_x,right_hand_8_y,right_hand_8_confidence,right_hand_9_x,right_hand_9_y,right_hand_9_confidence,right_hand_10_x,right_hand_10_y,right_hand_10_confidence,right_hand_11_x,right_hand_11_y,right_hand_11_confidence,right_hand_12_x,right_hand_12_y,right_hand_12_confidence,right_hand_13_x,right_hand_13_y,right_hand_13_confidence,right_hand_14_x,right_hand_14_y,right_hand_14_confidence,right_hand_15_x,right_hand_15_y,right_hand_15_confidence,right_hand_16_x,right_hand_16_y,right_hand_16_confidence,right_hand_17_x,right_hand_17_y,right_hand_17_confidence,right_hand_18_x,right_hand_18_y,right_hand_18_confidence,right_hand_19_x,right_hand_19_y,right_hand_19_confidence,right_hand_20_x,right_hand_20_y,right_hand_20_confidence
daal,daal_006.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.889,290.954,0.589926,589.016,275.628,0.751,625.143,248.259,0.71442,642.659,229.648,0.857918,633.901,225.269,0.481307,603.248,197.9,0.59532,615.29,167.247,0.802173,633.901,169.436,0.871998,650.322,179.289,0.690141,582.447,198.995,0.689945,610.911,194.616,0.636845,615.29,216.511,0.601079,608.721,229.648,0.475097,563.836,204.469,0.786771,589.016,205.563,0.647029,589.016,223.079,0.76623,581.352,234.027,0.528794,547.415,212.132,0.720968,555.078,217.606,0.494498,560.552,229.648,0.567216,562.742,237.311,0.561303
daal,daal_010.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.587,285.75,0.648911,594.022,269.189,0.746023,629.353,243.795,0.79037,647.018,226.129,0.799867,651.435,216.192,0.658137,610.583,190.798,0.509985,619.416,158.78,0.797363,638.186,162.092,0.859137,654.747,170.925,0.723911,590.71,191.902,0.612799,612.792,188.59,0.617163,620.52,207.36,0.379682,619.416,217.296,0.210657,575.253,198.527,0.678249,598.438,201.839,0.560773,596.23,219.505,0.618001,591.814,226.129,0.314779,558.691,205.151,0.656486,568.628,209.568,0.382244,577.461,226.129,0.474788,571.94,232.754,0.385626
daal,daal_047.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.557,286.731,0.658028,575.817,274.902,0.718956,611.304,250.169,0.797955,629.585,230.813,0.771119,630.66,227.587,0.549297,586.571,197.477,0.506235,603.776,169.518,0.846381,622.057,175.97,0.871116,638.188,187.799,0.805871,565.064,198.553,0.713569,598.4,196.402,0.808423,601.626,222.21,0.768493,595.174,232.964,0.549852,552.16,203.929,0.798633,582.269,206.08,0.650262,582.269,228.662,0.864146,571.516,237.265,0.644925,537.105,212.532,0.844027,560.762,218.984,0.452155,562.913,231.888,0.62679,555.386,239.416,0.55481
daal,daal_030.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.175,281.712,0.631315,580.069,270.1,0.747274,613.851,247.93,0.733634,634.965,228.927,0.838182,618.074,228.927,0.634199,591.681,198.312,0.461351,604.35,166.641,0.870877,625.464,174.031,0.907496,642.355,188.811,0.837117,569.512,197.257,0.696662,600.127,195.145,0.735588,604.35,215.203,0.519998,602.238,229.983,0.295713,554.732,201.479,0.704235,584.291,206.758,0.720023,586.403,224.705,0.755336,576.901,231.039,0.49023,542.064,209.925,0.838219,566.345,215.203,0.466993,569.512,232.095,0.77018,558.955,238.429,0.625675
daal,daal_026.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.739,286.357,0.696439,570.251,276.304,0.797238,607.115,253.962,0.839034,624.988,234.972,0.83793,616.052,232.737,0.504563,584.773,202.576,0.525134,598.178,174.649,0.903032,614.935,181.352,0.914026,631.691,193.639,0.850194,562.432,203.693,0.642309,589.242,199.225,0.730054,594.827,223.801,0.606322,589.242,232.737,0.517469,545.676,207.044,0.733488,571.368,213.747,0.651755,574.72,231.62,0.842052,564.666,239.44,0.575359,532.271,215.981,0.800033,552.378,222.684,0.492005,553.495,238.323,0.643743,545.676,240.557,0.642279
daal,daal_027.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.703,284.948,0.634995,578.477,269.117,0.766345,613.305,246.953,0.796981,632.303,229.011,0.770164,635.469,224.789,0.5431,590.086,194.182,0.537831,605.917,166.742,0.782792,624.915,175.185,0.868245,638.635,184.684,0.767741,570.033,193.127,0.781454,596.419,193.127,0.699015,602.751,219.512,0.67479,596.419,230.066,0.528316,553.147,200.515,0.799714,578.477,207.903,0.631488,581.643,225.845,0.855936,573.2,234.288,0.551582,538.371,208.958,0.805534,553.147,216.346,0.513622,557.368,227.955,0.57836,556.313,233.233,0.499682
daal,daal_031.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.254,284.546,0.637209,572.944,275.778,0.728912,606.922,256.048,0.763088,627.747,233.031,0.780296,617.883,231.935,0.577582,589.385,200.149,0.506826,599.249,172.747,0.774529,615.691,180.419,0.868898,632.132,190.284,0.793785,569.656,203.437,0.63126,588.289,201.245,0.602009,595.961,223.166,0.588112,597.057,237.415,0.482781,551.022,207.821,0.645406,564.175,213.302,0.573138,570.752,229.743,0.702736,569.656,238.511,0.336603,534.581,214.398,0.640891,535.677,220.974,0.625164,540.062,229.743,0.604478,544.446,235.223,0.528812
daal,daal_046.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.013,286.967,0.691952,579.3,270.427,0.733571,613.484,250.578,0.777121,632.23,231.832,0.802628,631.127,227.421,0.504696,589.224,198.751,0.457426,605.765,166.772,0.856662,624.511,173.389,0.916676,641.052,185.518,0.817368,569.376,198.751,0.603648,600.252,192.135,0.796036,605.765,219.702,0.601609,598.046,231.832,0.414847,553.938,202.059,0.7179,583.711,206.47,0.70221,584.814,226.318,0.737835,571.581,232.935,0.522225,542.911,208.675,0.862063,567.17,216.394,0.536744,566.068,234.037,0.748384,553.938,236.243,0.741462
daal,daal_011.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.692,286.428,0.643294,588.474,274.834,0.680193,624.311,247.43,0.683716,645.391,227.403,0.751613,649.607,220.025,0.575073,605.339,194.729,0.497858,614.825,161.0,0.792478,635.905,166.27,0.806046,650.661,175.756,0.707905,588.474,198.945,0.577738,611.663,191.567,0.592799,615.879,214.755,0.385217,616.933,226.349,0.318054,570.556,201.053,0.587857,594.798,201.053,0.480369,596.906,221.079,0.509245,589.528,232.673,0.276214,554.746,208.431,0.619669,562.124,208.431,0.263698,580.042,226.349,0.28071,578.988,233.727,0.140456
daal,daal_007.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.191,281.925,0.609961,592.305,270.198,0.672935,632.816,244.613,0.75192,650.939,222.225,0.791629,641.345,216.895,0.564845,609.363,191.309,0.516254,622.155,159.327,0.822449,642.411,160.393,0.862153,658.402,168.922,0.742589,591.239,193.441,0.681401,618.957,187.045,0.68612,623.221,211.565,0.540938,617.891,221.159,0.395207,575.248,196.64,0.708396,601.9,196.64,0.627334,602.966,219.027,0.798272,592.305,227.556,0.517012,559.257,203.036,0.737823,575.248,206.234,0.370444,585.909,223.291,0.547437,577.381,229.688,0.520801
daal,daal_050.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.011,286.748,0.575126,576.826,274.088,0.720718,611.64,251.934,0.759511,627.465,236.109,0.767071,633.795,228.724,0.711416,588.431,199.184,0.518838,603.2,171.754,0.871861,620.08,178.084,0.859379,635.905,188.634,0.780545,568.386,199.184,0.68249,593.706,197.074,0.649975,602.145,216.064,0.345677,598.98,229.779,0.244898,552.561,205.514,0.704234,575.771,208.679,0.495214,577.881,224.504,0.626523,570.496,236.109,0.311011,536.736,213.954,0.693642,546.231,217.119,0.348428,555.726,230.834,0.419623,553.616,237.164,0.299691
